yn_fyw yn_fyw RG 
tu_draw_i tu_draw_i SPS000 
phara[para,_pery] para VMIP3S0 
pan_fo_angen pan_fo_angen RG 
ar_draws ar_draws SPS000 
tuag_at tuag_at SPS000 
ei_hunain ei_hun PP3CSN00 
arna_i ar+prpers SPS000+PP1CSO00 
bara[para,_pery] para VMIP3S0 
amdano_fo am+prpers SPS000+PP3MSO00 
nesaf_atyn_nhw nesaf_at+prpers SPS000+PP3CPO00 
arnynt_hwy ar+prpers SPS000+PP3CPO00 
er_mwyn er_mwyn SPS000 er_mwyn CS 
amdano_fe am+prpers SPS000+PP3MSO00 
wedi_syfrdanwyd wedi_syfrdanu VMISIP0 
wedi_syfrdanwyf wedi_syfrdanu VMSP1S0 
o_fewn o_fewn SPS000 
mono_ti mono_ti RG 
drwyddo_i trwy+prpers SPS000+PP1CSO00 drwy+prpers SPS000+PP1CSO00 
ati_hi at+prpers SPS000+PP3FSO00 
tu_cefn_i tu_cefn_i SPS000 
ar_eich_pennau_eich_hun ar_eich_pennau_eich_hun RG 
ar_ein_pennau_ein_hunain ar_ein_pennau_ein_hun RG 
mwy_a_mwy mwy_a_mwy RG 
ynddynt_hwy yn+prpers SPS000+PP3CPO00 
arno_ef ar+prpers SPS000+PP3MSO00 
hebom_ni heb+prpers SPS000+PP1CPO00 
amdanon_ni am+prpers SPS000+PP1CPO00 
wedi_syfrdanasech wedi_syfrdanu VMIX2P0 
atom_ni at+prpers SPS000+PP1CPO00 
oddi_wrthat_ti oddi_wrth+prpers SPS000+PP2CSO00 
yn_eu_gŵydd yn_eu_gŵydd RG 
yn_anad yn_anad SPS000 
wrthat_ti wrth+prpers SPS000+PP2CSO00 
oddi_wrthyt oddi_wrth+prpers SPS000+PP2CSO00 
eroch_chi er+prpers SPS000+PP2CPO00 
oddi_wrthym oddi_wrth+prpers SPS000+PP1CPO00 
oddi_wrtho_ef oddi_wrth+prpers SPS000+PP3MSO00 
o_achos o_achos CS o_achos SPS000 
oddi_wrthyf oddi_wrth+prpers SPS000+PP1CSO00 
